# genre sanitation list via database dump 04/10/2019
# we should only need to include the exceptions, but
# for coverage a full list is developed here
# for safety values pass-thru if not defined here

Mn|Minimal
Big Beat|Electronic;Big Beat
Big Beats|Electronic;Big Beat
Experimenta|Experimental
Bluegrass|Bluegrass
Blues|Blues
Blues Rock|Blues Rock
Blues-Rock|Blues Rock
Boogie|Jazz;Boogie
Bop|Bop
Bossa Nova|Bossa Nova
Brass & Military|Brass & Military
Break Beat|Electronic;Break Beat
Breakbeat|Electronic;Break Beat
Breakcore|Breakcore
Breaks|Electronic;Breaks
Brit Pop|Britpop
Brit-Pop|Britpop
Brit-pop|Britpop
Brit Pop Rock|Britpop;Rock
Brit Rock|Britpop;Rock
BritPop|Britpop
Britpop|Britpop
Broken Beat|Electronic;Broken Beat
Cabaret|Cabaret
Calypso|Calypso;Reggae
Canterbury Scene|Rock;Canterbury Scene
Cha-Cha|Latin;Jazz;Cha-Cha
Chamber Music|Classical;Chamber Music
Chamber Rock|Chamber Rock;Rock
Chanson|Chanson
Chetto House|Ghetto House;House
Chicago Blues|Chicago Blues
Chill|Electronic;Ambient;Chill
Chill Out|Electronic;Ambient;Chill;Chillout
Chillout|Electronic;Ambient;Chill;Chillout
Chillwave|Electronic;Ambient;Chill;Chillwave
Chiptune|Electronic;Chiptune
Choral|Choral
Cinematic|Cinematic
Classic Rock|Classic Rock
Classical|Classical
Clicks / Glitch|Clicks;Glitch
Club|Club;Dance
Club-House|Club-House;Dance
Coldwave|Coldwave
Collage|Collage
Comedy|Comedy
Contemporary|Contemporary
Contemporary Classical|Contemporary Classical
Contemporary Jazz|Contemporary Jazz
Contemporary R&B|Contemporary R&B
Contemporary RnB|Contemporary R&B
Cool Jazz|Cool Jazz
Cool-Jazz|Cool Jazz
Country|Country
Country Blues|Country Blues
Country Rock|Country Rock
Crossover|Crossover
Crunk|Crunk
Dance|Dance
Dance Hall|Dance Hall
Dance-pop|Dance-pop
Dance Pop|Dance-Pop
Dance Punk|Dance-Punk
Dance-Punk|Dance-Punk
Dance Rock|Dance-Rock
Dance-Rock|Dance-Rock
Dancefloor|Dancefloor
Dancehall|Dancehall
Dancehall-Reggae|Dancehall;Reggae
Dancehall Reggae|Dancehall;Reggae
Dark Ambient|Dark Ambient
Dark Lo-Fi|Dark Lo-Fi
Dark Techno|Dark Techno
Dark Wave|Darkwave
Darkwave|Darkwave
Death Metal|Death Metal
Deep House|Deep House
Deep Techno|Deep Techno
